Date,High,Low,Month,Year,City,Date
23,36°,26°,September,2021,Karachi,23-Sep-21
24,38°,28°,September,2021,Karachi,24-Sep-21
25,37°,30°,September,2021,Karachi,25-Sep-21
26,37°,29°,September,2021,Karachi,26-Sep-21
27,37°,30°,September,2021,Karachi,27-Sep-21
28,37°,28°,September,2021,Karachi,28-Sep-21
29,39°,28°,September,2021,Karachi,29-Sep-21
30,34°,28°,September,2021,Karachi,30-Sep-21
1,31°,26°,October,2021,Karachi,01-Oct-21
2,32°,27°,October,2021,Karachi,02-Oct-21
3,34°,27°,October,2021,Karachi,03-Oct-21
4,33°,28°,October,2021,Karachi,04-Oct-21
5,33°,28°,October,2021,Karachi,05-Oct-21
6,35°,27°,October,2021,Karachi,06-Oct-21
7,37°,27°,October,2021,Karachi,07-Oct-21
8,36°,28°,October,2021,Karachi,08-Oct-21
9,34°,27°,October,2021,Karachi,09-Oct-21
10,33°,26°,October,2021,Karachi,10-Oct-21
11,37°,27°,October,2021,Karachi,11-Oct-21
12,37°,25°,October,2021,Karachi,12-Oct-21
13,38°,25°,October,2021,Karachi,13-Oct-21
14,38°,25°,October,2021,Karachi,14-Oct-21
15,38°,22°,October,2021,Karachi,15-Oct-21
16,37°,19°,October,2021,Karachi,16-Oct-21
17,37°,18°,October,2021,Karachi,17-Oct-21
18,36°,22°,October,2021,Karachi,18-Oct-21
19,35°,19°,October,2021,Karachi,19-Oct-21
20,33°,25°,October,2021,Karachi,20-Oct-21
21,32°,23°,October,2021,Karachi,21-Oct-21
22,32°,27°,October,2021,Karachi,22-Oct-21
23,35°,27°,October,2021,Karachi,23-Oct-21
24,35°,20°,October,2021,Karachi,24-Oct-21
25,33°,24°,October,2021,Karachi,25-Oct-21
26,34°,22°,October,2021,Karachi,26-Oct-21
27,35°,22°,October,2021,Karachi,27-Oct-21
28,35°,21°,October,2021,Karachi,28-Oct-21
29,37°,20°,October,2021,Karachi,29-Oct-21
30,37°,20°,October,2021,Karachi,30-Oct-21
31,35°,19°,October,2021,Karachi,31-Oct-21
1,37°,19°,November,2021,Karachi,01-Nov-21
2,35°,23°,November,2021,Karachi,02-Nov-21
3,35°,22°,November,2021,Karachi,03-Nov-21
4,35°,21°,November,2021,Karachi,04-Nov-21
5,36°,22°,November,2021,Karachi,05-Nov-21
6,36°,19°,November,2021,Karachi,06-Nov-21
7,36°,18°,November,2021,Karachi,07-Nov-21
8,36°,18°,November,2021,Karachi,08-Nov-21
9,37°,21°,November,2021,Karachi,09-Nov-21
10,36°,19°,November,2021,Karachi,10-Nov-21
11,35°,17°,November,2021,Karachi,11-Nov-21
12,35°,19°,November,2021,Karachi,12-Nov-21
13,35°,20°,November,2021,Karachi,13-Nov-21
14,35°,17°,November,2021,Karachi,14-Nov-21
15,34°,21°,November,2021,Karachi,15-Nov-21
16,34°,16°,November,2021,Karachi,16-Nov-21
17,32°,18°,November,2021,Karachi,17-Nov-21
18,31°,15°,November,2021,Karachi,18-Nov-21
19,32°,14°,November,2021,Karachi,19-Nov-21
20,31°,18°,November,2021,Karachi,20-Nov-21
21,32°,17°,November,2021,Karachi,21-Nov-21
22,33°,17°,November,2021,Karachi,22-Nov-21
23,33°,14°,November,2021,Karachi,23-Nov-21
24,33°,17°,November,2021,Karachi,24-Nov-21
25,34°,18°,November,2021,Karachi,25-Nov-21
26,34°,19°,November,2021,Karachi,26-Nov-21
27,33°,20°,November,2021,Karachi,27-Nov-21
28,32°,18°,November,2021,Karachi,28-Nov-21
29,33°,20°,November,2021,Karachi,29-Nov-21
30,32°,20°,November,2021,Karachi,30-Nov-21
1,32°,17°,December,2021,Karachi,01-Dec-21
2,30°,21°,December,2021,Karachi,02-Dec-21
3,30°,18°,December,2021,Karachi,03-Dec-21
4,30°,15°,December,2021,Karachi,04-Dec-21
5,30°,16°,December,2021,Karachi,05-Dec-21
6,30°,19°,December,2021,Karachi,06-Dec-21
7,28°,16°,December,2021,Karachi,07-Dec-21
8,29°,14°,December,2021,Karachi,08-Dec-21
9,29°,13°,December,2021,Karachi,09-Dec-21
10,28°,17°,December,2021,Karachi,10-Dec-21
11,30°,11°,December,2021,Karachi,11-Dec-21
12,30°,15°,December,2021,Karachi,12-Dec-21
13,27°,11°,December,2021,Karachi,13-Dec-21
14,27°,10°,December,2021,Karachi,14-Dec-21
15,26°,9°,December,2021,Karachi,15-Dec-21
16,24°,8°,December,2021,Karachi,16-Dec-21
17,25°,9°,December,2021,Karachi,17-Dec-21
18,25°,10°,December,2021,Karachi,18-Dec-21
19,26°,12°,December,2021,Karachi,19-Dec-21
20,27°,13°,December,2021,Karachi,20-Dec-21
21,27°,14°,December,2021,Karachi,21-Dec-21
22,27°,15°,December,2021,Karachi,22-Dec-21
23,28°,15°,December,2021,Karachi,23-Dec-21
24,27°,14°,December,2021,Karachi,24-Dec-21
25,27°,14°,December,2021,Karachi,25-Dec-21
26,28°,13°,December,2021,Karachi,26-Dec-21
27,28°,14°,December,2021,Karachi,27-Dec-21
28,27°,14°,December,2021,Karachi,28-Dec-21
29,27°,13°,December,2021,Karachi,29-Dec-21
30,24°,12°,December,2021,Karachi,30-Dec-21
31,24°,12°,December,2021,Karachi,31-Dec-21
